nome;telefone;endereco;link;categoria;horario;
Mr Shake;(33) 99859-6938;R. Pres. Bernardes, 331 - Centro;https://www.instagram.com/mr.shakenovocruzeiro/;Alimentação;Seg a Sex: 10h – 22h | Dom: 10h – 22h;
Sorveteria Amigo;(33) 99874-4831;Praça Sargento Noraldino - Centro;https://www.instagram.com/sorveteriaamigonc/;Alimentação;Seg a Sex: 10h30 – 21h | Dom: 10h30 – 21h;
Pastelaria Central;(33) 98845-7373;R. Davi Mussi, 35 - Centro;https://www.instagram.com/pastelaria.central/;Alimentação;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Cantinho do Pastel;#;R. Pref. Júlio da Silva Campos, 424 - Centro;https://www.instagram.com/cantinho_do_pastel1024/;Alimentação;Seg a Sex: 07h – 22h | Dom: 07h – 12h;
Padaria Arte Pães;(33) 98803-5210;R. Pres. Bernardes, 55 - Centro;https://www.instagram.com/padariaartepaesltda/;Alimentação;Seg a Sex: 07h – 21h | Dom: 07h – 12h;
Padaria Doce Sonho;(33) 99955-3926;Travessa Antônio Ursino da Silva, 05 - Centro;https://www.instagram.com/padariadocesonhonc/;Alimentação;Seg a Sex: 07h – 20h | Dom: 07h – 12h;
Padaria do Edinho;(33) 98854-0628;Av. Júlio Campos - Centro;https://www.instagram.com/padariaedinho/;Alimentação;Seg a Sex: 07h – 19h | Dom: 07h – 12h;
Padaria Vic;(33) 3533-1253;Av. Júlio Campos, 328 - Centro;https://www.instagram.com/padariavic/;Alimentação;Seg a Sex: 07h – 21h | Dom: 07h – 12h;
Quitandas da Ivone;(33) 98827-8112;Novo Cruzeiro - MG;https://www.instagram.com/quitandasivone_/;Alimentação;Seg a Sex: 07h – 17h30 | Dom: 07h – 12h;
Padaria Quitanda Mineira;#;R. Inácio Bahia - Centro;#;Alimentação;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Café Tia Dete;(33) 98700-1361;R. Joaquim Maravilha, 157 - Centro;https://www.instagram.com/tiadete_/;Alimentação;Seg a Sex: 07h – 17h | Dom: 07h – 12h;
Pátio Sorveteria;(33) 98836-8907;LMG-678, 408 - Centro;https://www.instagram.com/patio_oficial/;Alimentação;Seg a Sex: 07h – 22h | Dom: 07h – 12h;
Lanchonete Livian;#;Av. Júlio Campos - Centro;#;Alimentação;Seg a Sex: 07h – 20h | Dom: 07h – 12h;
Sicoob Credipinho;(33) 3533-1680;Av. Júlio Campos, 621 - Centro;https://www.sicoob.com.br/web/sicoobcredipinho/sicoob-credipinho;Serviços;Seg a Sex: 08h – 16h | Dom: #;
LUMO Gráfica e Papelaria;(33) 98451-2400;R. Joaquim Maravilha, 52 - Centro;https://www.instagram.com/lumograficaepapelaria/;Compras;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Papelaria Criativa;(33) 98712-1232;R. José Milton Ramos, 507 - Centro;https://www.instagram.com/criativadig/;Compras;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
Suffite Papelaria;(33) 98840-3539;R. Davi Mussi - Centro;#;Compras;Seg a Sex: 07h – 19h | Dom: 07h – 12h;
LUMO CENTER;(33) 98882-0644;R. Joaquim Maravilha, 52 - Centro; https://www.instagram.com/lumocenternc/;Compras;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
ALTI Comunicação Visual;(33) 98875-0052;Tv Antônio Ursino da Silva, 37 - Centro;#;Serviços;Seg a Sex: 07h – 18h | Dom: 07h – 12h;
